width_pitch,width_rib_a,width_rib_c,height_anode,height_cathode,height_electrolyte
2,1,0.6,0.41,0.025,0.01
2,1,0.8,0.41,0.025,0.01
2,1,1,0.41,0.025,0.01
2,1,1.2,0.41,0.025,0.01
2,1,1.4,0.41,0.025,0.01
2,0.6,1,0.41,0.025,0.01
2,0.8,1,0.41,0.025,0.01
2,1,1,0.41,0.025,0.01
2,1.2,1,0.41,0.025,0.01
2,1.4,1,0.41,0.025,0.01
1.8,1,1,0.36,0.025,0.01
2,1,1,0.41,0.025,0.01
2.2,1,1,0.46,0.025,0.01
2.4,1,1,0.51,0.025,0.01
2.6,1,1,0.56,0.025,0.01
2,1,1,0.41,0.02,0.01
2,1,1,0.41,0.025,0.01
2,1,1,0.41,0.03,0.01
2,1,1,0.41,0.035,0.01
2,1,1,0.41,0.04,0.01
2,1,1,0.41,0.025,0.01
2,1,1,0.41,0.025,0.012
2,1,1,0.41,0.025,0.014
2,1,1,0.41,0.025,0.016
2,1,1,0.41,0.025,0.018
